Шаг,NFT lvl1,NFT lvl2,NFT lvl3,Активных NFT lvl1,Активных NFT lvl2,Активных NFT lvl3,Встречи,REWARD_POOL токены,Новые NFT,Стоимость новых NFT,Цена токена
374,20023,1865,151,19004,1791,140,318,454834677.91,74,10100.00,0.000063
375,20090,1871,153,19059,1804,141,322,488584707.93,84,43500.00,0.000072
376,20143,1876,153,19139,1801,149,299,472313736.05,62,10700.00,0.000063
377,20192,1883,154,19220,1803,153,291,453848027.26,59,23000.00,0.000057
378,20237,1888,154,19301,1802,149,283,440564886.37,55,10000.00,0.000058
379,20301,1892,154,19398,1797,148,286,443222706.78,71,10700.00,0.000060
380,20355,1895,156,19441,1808,150,288,488311844.05,63,28800.00,0.000070
381,20414,1896,157,19489,1818,144,292,453850234.38,69,17700.00,0.000063
382,20468,1896,158,19567,1813,142,277,473193719.16,58,16600.00,0.000071
383,20514,1899,158,19592,1818,147,291,448026475.35,55,8200.00,0.000061
384,20569,1902,158,19586,1808,154,313,451418726.84,62,9800.00,0.000060
385,20630,1908,158,19632,1815,154,305,442705293.14,71,12500.00,0.000058
386,20692,1911,158,19665,1824,154,327,452988440.06,68,9500.00,0.000061
387,20745,1916,159,19710,1810,152,316,475732045.09,63,20700.00,0.000069
388,20802,1923,159,19830,1823,148,293,450348390.55,66,12900.00,0.000063
389,20851,1929,159,19927,1844,153,278,446332418.13,57,11100.00,0.000058
390,20891,1934,159,19990,1855,153,272,442753266.20,50,10400.00,0.000058
391,20932,1937,160,20019,1869,153,272,490479891.25,45,17100.00,0.000071
392,20984,1940,160,20025,1856,151,310,457764945.24,61,9700.00,0.000063
393,21022,1947,160,20038,1853,150,292,442197813.58,47,11000.00,0.000061
394,21080,1950,161,20072,1866,154,318,485946104.06,67,20200.00,0.000070
395,21130,1951,161,20174,1879,156,264,467400816.17,55,7300.00,0.000063
396,21179,1959,161,20252,1886,157,302,448277977.30,63,13500.00,0.000058
397,21240,1967,163,20240,1871,157,328,449230784.26,80,36800.00,0.000060
398,21297,1969,163,20351,1861,157,281,441472360.49,64,9100.00,0.000059
399,21361,1975,164,20446,1865,161,306,489839069.51,74,23600.00,0.000070
